Futures,BID,ASK
17-Mar-08,95.6800,95.6850
16-Jun-08,96.0650,96.0700
15-Sep-08,96.3700,96.3750
15-Dec-08,96.5250,96.5300
16-Mar-09,96.6050,96.6100
15-Jun-09,96.5700,96.5800
14-Sep-09,96.4900,96.4950
14-Dec-09,96.3650,96.3750
15-Mar-10,96.2750,96.2850
