,Depos,BID,ASK
sn,20-Feb-08,3.9900,4.0300
1w,26-Feb-08,4.0500,4.0900
1m,19-Mar-08,4.1300,4.1800
2m,21-Apr-08,4.2100,4.2700
3m,19-May-08,4.3000,4.3600
6m,19-Aug-08,4.2900,4.3500
9m,19-Nov-08,4.2900,4.3500
1y,19-Feb-09,4.2900,4.3500
